Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200308,S92000003,Female,,75 to 84,,0,0,0,0,0,0,33,17.18481487
20200308,S92000003,Female,,85plus,,0,0,0,0,0,0,19,23.05125872
20200308,S92000003,Female,,Total,d,0,10,0.357042375,0,0,0,1039,37.09670279
20200308,S92000003,Male,,0 to 14,,0,0,0,0,0,0,234,53.09963443
20200308,S92000003,Male,,0 to 59,,2,17,0.842121949,0,0,0,850,42.10609746
20200308,S92000003,Male,,15 to 19,,0,0,0,0,0,0,29,20.10998079
20200308,S92000003,Male,,20 to 24,,0,0,0,0,0,0,47,27.12028713
20200308,S92000003,Male,,25 to 44,,2,10,1.41155015,0,0,0,288,40.65264433
20200308,S92000003,Male,,45 to 64,,0,7,0.968482803,0,0,0,319,44.13514486
20200308,S92000003,Male,,60+,,1,3,0.464035687,0,0,0,218,33.71992662
20200308,S92000003,Male,,65 to 74,,1,3,1.069751354,0,0,0,92,32.80570819
20200308,S92000003,Male,,75 to 84,,0,0,0,0,0,0,48,32.11217854
20200308,S92000003,Male,,85plus,,0,0,0,0,0,0,11,23.97245347
20200308,S92000003,Male,,Total,d,3,20,0.750409348,0,0,0,1068,40.0718592
20200308,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,419,48.73283011
20200308,S92000003,Total,d,0 to 59,,2,26,0.640812195,0,0,0,1668,41.11056697
20200308,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,59,20.91308663
20200308,S92000003,Total,d,20 to 24,,0,2,0.585214554,0,0,0,131,38.33155331
