areaCode,areaName,areaType,date,newAdmissions,newAdmissionsChangePercentage,newAdmissionsRollingRate
K02000001,United Kingdom,overview,2020-06-10,513,-24.2,4.9
K02000001,United Kingdom,overview,2020-06-09,492,-22.9,5.1
K02000001,United Kingdom,overview,2020-06-08,412,-19.4,5.3
K02000001,United Kingdom,overview,2020-06-07,408,-15.0,5.6
K02000001,United Kingdom,overview,2020-06-06,406,-13.5,5.8
K02000001,United Kingdom,overview,2020-06-05,475,-11.3,6.0
K02000001,United Kingdom,overview,2020-06-04,565,-10.7,6.3
K02000001,United Kingdom,overview,2020-06-03,633,-10.5,6.5
K02000001,United Kingdom,overview,2020-06-02,668,-11.4,6.6
K02000001,United Kingdom,overview,2020-06-01,604,-14.0,6.6
K02000001,United Kingdom,overview,2020-05-31,528,-17.9,6.6
K02000001,United Kingdom,overview,2020-05-30,568,-19.9,6.7
K02000001,United Kingdom,overview,2020-05-29,614,-20.9,6.8
K02000001,United Kingdom,overview,2020-05-28,702,-20.6,7.0
K02000001,United Kingdom,overview,2020-05-27,712,-19.2,7.2
K02000001,United Kingdom,overview,2020-05-26,698,-18.4,7.4
K02000001,United Kingdom,overview,2020-05-25,602,-16.8,7.7
K02000001,United Kingdom,overview,2020-05-24,587,-15.3,8.1
K02000001,United Kingdom,overview,2020-05-23,643,-13.7,8.4
K02000001,United Kingdom,overview,2020-05-22,739,-12.9,8.6
K02000001,United Kingdom,overview,2020-05-21,841,-11.4,8.8
K02000001,United Kingdom,overview,2020-05-20,851,-13.7,8.9
K02000001,United Kingdom,overview,2020-05-19,881,-15.0,9.1
K02000001,United Kingdom,overview,2020-05-18,848,-15.5,9.3
K02000001,United Kingdom,overview,2020-05-17,792,-15.5,9.5
K02000001,United Kingdom,overview,2020-05-16,813,-16.9,9.7
K02000001,United Kingdom,overview,2020-05-15,871,-17.8,9.9
K02000001,United Kingdom,overview,2020-05-14,909,-20.7,10.0
K02000001,United Kingdom,overview,2020-05-13,966,-20.3,10.3
K02000001,United Kingdom,overview,2020-05-12,983,-20.2,10.7
K02000001,United Kingdom,overview,2020-05-11,1029,-21.6,10.9
K02000001,United Kingdom,overview,2020-05-10,915,-21.7,11.3
K02000001,United Kingdom,overview,2020-05-09,943,-20.2,11.7
K02000001,United Kingdom,overview,2020-05-08,910,-18.4,12.0
K02000001,United Kingdom,overview,2020-05-07,1164,-17.1,12.6
